Mes;Materias plásticas y manufacturas;Caucho y manufacturas;Manufacturas de cuero, artículos de viaje, bolsos;Madera, carbón vegetal y manufacturas de madera;Corcho y sus manufacturas;Manufactura de espartería y cestería;Papel, cartón y sus manufacturas;Plumas, flores artificiales; manufactura de cabellos;Manufacturas de piedra, yeso, cemento, mica y análogas;Vidrio y manufacturas;Manufactura de fundición, de hierro o acero;Cobre y sus manufacturas;Níquel y sus manufacturas;Aluminio y sus manufacturas;Plomo y manufacturas;Zinc y manufacturas;Estaño y manufacturas;Demás metales comunes, "cermets" y manufacturas;Manufacturas diversas de metales comunes;Manufacturas diversas
febrero-19;150.376;6.203;4.618;4.361;34;17;25.252;8;3.681;12.814;10.619;13.741;19;24.478;380;62;10;153;1.993;9.959
marzo-19;93.940;6.358;5.742;4.020;17;142;22.537;1;3.661;10.090;17.109;17.834;1;23.756;220;43;0;128;1.942;12.120
abril-19;129.741;8.487;5.994;4.773;29;91;20.619;26;4.303;12.533;16.422;14.838;1;36.888;1.731;11;21;141;3.351;9.187
mayo-19;141.614;7.882;6.563;5.281;47;50;30.370;5;4.113;14.237;21.081;19.714;0;27.880;477;44;8;48;3.051;11.624
junio-19;104.238;6.337;5.122;4.518;25;27;24.887;5;3.915;8.838;16.907;15.933;3;26.370;289;77;3;140;1.707;12.900
julio-19;134.880;7.553;5.820;3.942;4;39;23.455;2;3.968;12.737;17.762;16.344;2;25.835;189;48;14;70;2.578;10.201
agosto-19;113.397;8.674;5.988;4.685;26;48;27.882;5;4.119;10.663;17.247;14.117;1;26.222;436;7;0;118;2.306;14.059
septiembre-19;132.118;7.266;5.647;3.276;36;15;20.956;10;3.825;9.725;13.477;15.174;1;33.171;596;53;4;80;2.528;10.485
octubre-19;133.857;7.442;5.298;3.890;56;40;21.237;2;5.010;14.420;22.294;12.924;139;42.855;159;23;1;226;2.751;11.769
noviembre-19;112.234;7.888;4.636;4.034;8;34;22.234;8;4.246;9.702;17.095;16.700;1;31.561;598;48;0;83;1.874;11.075
diciembre-19;107.472;6.041;4.000;2.504;5;26;18.842;2;3.489;10.148;15.500;13.831;3;31.033;244;20;8;123;2.974;9.453
enero-20;100.590;8.136;3.227;3.889;12;31;17.665;0;3.593;14.220;20.879;15.278;17;20.061;677;25;9;118;1.947;8.823
febrero-20;116.884;7.590;4.333;4.564;2;50;19.459;10;3.476;9.791;12.461;14.635;64;24.251;742;56;13;125;1.876;10.428
marzo-20;115.479;7.466;3.860;4.084;6;26;17.932;5;3.175;11.037;18.793;12.821;7;23.986;563;48;0;144;2.338;8.671
abril-20;116.495;2.639;1.500;3.989;0;6;13.464;4;910;8.370;4.537;10.574;0;21.767;358;2;0;24;692;11.851
mayo-20;84.818;3.401;1.837;1.894;8;17;22.432;1;1.342;11.179;5.560;5.754;12;27.796;71;2;0;29;1.126;9.080
junio-20;78.733;5.961;2.916;1.915;0;9;21.126;8;2.632;8.694;7.389;8.459;4;27.370;499;0;0;0;1.726;9.716
julio-20;113.002;8.842;3.604;2.857;15;58;24.338;10;3.399;11.581;11.629;16.588;1;28.381;573;24;17;158;2.301;8.519
agosto-20;106.563;7.941;3.559;3.628;0;26;17.781;1;3.641;10.089;8.721;9.598;6;24.347;442;20;0;25;2.266;9.342
septiembre-20;126.821;8.124;3.901;4.126;12;5;21.018;5;3.978;11.971;10.915;13.702;14;27.967;1.523;26;10;231;3.100;11.239
octubre-20;101.782;8.372;3.428;4.597;13;11;22.337;33;4.167;10.250;13.293;16.650;27;29.222;531;48;11;87;2.340;11.062
noviembre-20;114.106;7.510;3.890;3.896;5;55;21.046;5;4.313;12.887;12.819;12.943;8;34.694;408;28;10;105;3.250;11.161
diciembre-20;147.539;10.170;4.899;4.619;4;75;25.227;12;4.594;15.447;13.288;18.563;1;30.644;427;10;2;156;3.144;11.321
enero-21;130.770;6.730;2.325;4.474;0;9;19.723;0;3.740;10.495;11.469;20.863;5;29.791;472;34;11;97;2.989;8.527
febrero-21;159.061;7.635;3.535;4.582;11;62;18.175;3;5.035;12.480;13.654;16.421;1;34.816;411;34;3;63;2.996;12.099
marzo-21;150.113;8.672;4.892;5.490;2;100;24.292;7;3.998;13.513;18.627;23.952;1;41.516;780;25;10;92;4.189;9.027
Fuente: DIAN - DANE (EXPO);;;;;;;;;;;;;;;;;;;;
p Cifras preliminares.;;;;;;;;;;;;;;;;;;;;
Actualizado el 30 de abril de 2021;;;;;;;;;;;;;;;;;;;;
